date,observed_monthly_twsa,model_reconstructed_monthly_twsa,observed_ma12,model_reconstructed_ma12,residual_model_minus_observed,source_segment
2006-02-01,30.21783645631047,26.278569158830063,,,-3.9392672974804057,historical reconstruction/context
2006-03-01,-2.004568525708496,-0.5749024306991832,,,1.4296660950093123,historical reconstruction/context
2006-04-01,2.731296612955107,3.75076742369225,,,1.0194708107371429,historical reconstruction/context
2006-05-01,7.253599413641011,5.256710816458509,,,-1.996888597182502,historical reconstruction/context
2006-06-01,-9.05604447329766,-11.824065164045166,,,-2.7680206907475053,historical reconstruction/context
2006-07-01,-4.7474892140736005,-7.092109473135063,,,-2.344620259061463,historical reconstruction/context
2006-08-01,7.9581951702060145,12.721760869209476,,,4.763565699003461,historical reconstruction/context
2006-09-01,25.312498396278578,25.363446000648818,,,0.0509476043702399,historical reconstruction/context
2006-10-01,6.614070054932129,5.001306541894266,,,-1.612763513037863,historical reconstruction/context
2006-11-01,-30.909873531872016,-31.03642016896236,,,-0.1265466370903425,historical reconstruction/context
2006-12-01,-29.803966547853868,-30.581082923416048,,,-0.7771163755621799,historical reconstruction/context
2007-01-01,-11.107897776905451,-17.00761341003449,-0.6285286637823154,-1.645302729963244,-5.89971563312904,historical reconstruction/context
2007-02-01,-32.786849639775966,-30.266383484737982,-5.878919171789518,-6.357382116927248,2.520466155037983,historical reconstruction/context
2007-03-01,16.803538479411518,13.503750153720294,-4.3115769213628505,-5.184161068225625,-3.2997883256912246,historical reconstruction/context
2007-04-01,12.391160353648893,10.503578724274105,-3.5065882763050347,-4.621426793177137,-1.887581629374788,historical reconstruction/context
2007-05-01,-63.14023353910054,-65.05150920808916,-9.372741022366831,-10.480445128556108,-1.9112756689886157,historical reconstruction/context
2007-06-01,-79.15152449539077,-80.92439232614485,-15.214031024207925,-16.23880572539775,-1.7728678307540804,historical reconstruction/context
2007-07-01,-45.983498198562486,-46.10322486936563,-18.650365106248668,-19.489732008416965,-0.1197266708031463,historical reconstruction/context
2007-08-01,-5.807112762933104,-8.275048834655594,-19.79747410067693,-21.23946615040572,-2.46793607172249,historical reconstruction/context
2007-09-01,-4.722144591225352,-1.3011086105706715,-22.30036101630225,-23.461512368007345,3.421035980654681,historical reconstruction/context
2007-10-01,-13.93721659150089,-12.747292873419758,-24.012968236838336,-24.94056231928351,1.1899237180811326,historical reconstruction/context
2007-11-01,-22.64986627052253,-23.33217453151483,-23.324634298392542,-24.298541849496218,-0.6823082609923006,historical reconstruction/context
2007-12-01,-16.880248961921765,-24.034370448259622,-22.2476578328982,-23.752982476566515,-7.154121486337857,historical reconstruction/context
2008-01-01,-23.598701827302424,-24.67639839363376,-23.288558170431287,-24.39204789186645,-1.077696566331337,historical reconstruction/context
2008-02-01,-18.43130959505144,-19.79283805511578,-22.09226316670424,-23.51925243939793,-1.3615284600643385,historical reconstruction/context
2008-03-01,3.1216105805660046,-1.834239870963872,-23.232423824941367,-24.797418274788285,-4.9558504515298765,historical reconstruction/context
2008-04-01,0.0722231427604994,-6.391470086689824,-24.25900192584873,-26.20533900903528,-6.463693229450324,historical reconstruction/context
2008-05-01,-51.26284726349748,-51.4142866477689,-23.269219736215145,-25.068903795675254,-0.1514393842714199,historical reconstruction/context
2008-06-01,-58.60090631916771,-59.44827599157521,-21.55666822152989,-23.27922743446112,-0.8473696724074955,historical reconstruction/context
2008-07-01,-26.991956144814463,-31.959340864518744,-19.97403971705089,-22.10057043405721,-4.967384719704281,historical reconstruction/context
2008-08-01,-10.757827421375458,-15.094138024409837,-20.386599271921085,-22.66882786653673,-4.336310603034379,historical reconstruction/context
2008-09-01,-19.273737232359284,-22.05894776105381,-21.59923199201558,-24.39864779574366,-2.785210528694524,historical reconstruction/context
2008-10-01,-45.73749776035608,-47.45144406681887,-24.24925542275351,-27.290660395193587,-1.7139463064627949,historical reconstruction/context
2008-11-01,-64.83157467636792,-65.61839238678408,-27.76439778990729,-30.81451188313269,-0.7868177104161589,historical reconstruction/context
2008-12-01,-66.83315823831565,-68.73077449407894,-31.92714022960678,-34.539212220284305,-1.897616255763296,historical reconstruction/context
2009-01-01,-64.56195713626718,-63.80428726097106,-35.34074483868718,-37.79986962589575,0.7576698752961235,historical reconstruction/context
2009-02-01,-54.17826972625915,-55.66156080906142,-38.31965818295449,-40.78892985539122,-1.4832910828022676,historical reconstruction/context
2009-03-01,-66.74675013662856,-65.59943499358259,-44.14202157605403,-46.10269611560944,1.1473151430459725,historical reconstruction/context
2009-04-01,-77.21645919938666,-73.35305377048519,-50.5827451045663,-51.682828089259054,3.8634054289014728,historical reconstruction/context
2009-05-01,-76.25098078368086,-77.86821559193429,-52.66508956458159,-53.88732216793949,-1.6172348082534285,historical reconstruction/context
2009-06-01,-80.65044780956885,-78.19250903609901,-54.50255135544834,-55.449341588316486,2.4579387734698344,historical reconstruction/context
2009-07-01,-85.43543315847872,-84.20879014194298,-59.37284110658703,-59.80346236143517,1.226643016535732,historical reconstruction/context
2009-08-01,-56.32224807194383,-56.5047087435826,-63.16987616080106,-63.25434325469956,-0.1824606716387649,historical reconstruction/context
2009-09-01,-48.07518070070808,-47.64936297776661,-65.56999644983013,-65.38687785609231,0.4258177229414741,historical reconstruction/context
2009-10-01,-88.23981605917258,-83.70981819674847,-69.11185630806484,-68.40840903358644,4.529997862424111,historical reconstruction/context
2009-11-01,-79.67548165121136,-79.58255024218167,-70.34884855596846,-69.57208885486956,0.0929314090296884,historical reconstruction/context
2009-12-01,-54.49561802142152,-55.57689680553839,-69.32072020456062,-68.47593238082452,-1.0812787841168685,historical reconstruction/context
2010-01-01,-58.74225070438591,-56.83707970185952,-68.83574466857051,-67.89533175089856,1.9051710025263875,historical reconstruction/context
2010-02-01,-87.96403400998325,-89.18389384227518,-71.65122502554752,-70.68885950366636,-1.219859832291931,historical reconstruction/context
2010-03-01,-93.71641584808869,-93.66460711735245,-73.89869716816919,-73.02762384731386,0.0518087307362407,historical reconstruction/context
2010-04-01,-64.90593024384856,-65.92655482064681,-72.87281975520769,-72.40874893482733,-1.0206245767982551,historical reconstruction/context
2010-05-01,-64.20634048532843,-64.35002490521687,-71.86909973034498,-71.28223304426756,-0.1436844198884443,historical reconstruction/context
