date,scenario,climate_component_mm,component_lower_mm,component_upper_mm,risk_index,assumption,residual_assumption_mm,residual_p05_mm,residual_p25_mm,residual_p75_mm,residual_p95_mm,total_twsa_reconstruction_mm,p05,p25,p50,p75,p95,projection_type,total_twsa_ma12_mm
2026-01-01,ssp126,-1.1208365051335765,-32.18849516977453,16.206090837413957,-1.4783308097250774,A_stationary_residual,6.7624434,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,5.641606894866424,-168.70061316977456,-77.28739150513357,5.641606894866424,88.52849599486642,146.86198083741397,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,5.641606894866424
2026-02-01,ssp126,0.3340863710155903,-32.18849516977453,40.25863750163671,-1.4565033603074806,A_stationary_residual,18.4285198,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,18.76260617101559,-168.70061316977456,-75.8324686289844,18.76260617101559,89.98341887101559,170.9145275016367,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,12.202106532941007
2026-03-01,ssp126,3.1213905171754632,-32.18849516977453,40.25863750163671,-1.4322966942613522,A_stationary_residual,11.3393914,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,14.460781917175463,-168.70061316977456,-73.04516448282453,14.460781917175463,92.77072301717548,170.9145275016367,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,12.954998327685828
2026-04-01,ssp126,8.277530838147953,-10.773064522591705,30.216832295553857,-1.4115400396453708,A_stationary_residual,25.1247908,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,33.40232163814795,-147.28518252259173,-67.88902416185203,33.40232163814795,97.92686333814795,160.87272229555384,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,18.06682915530136
2026-05-01,ssp126,2.1642962739231626,-17.873390649599145,7.764243125596375,-1.3935790934329604,A_stationary_residual,-5.265837199999998,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,-3.101540926076836,-154.38550864959916,-74.00225872607683,-3.101540926076836,91.81362877392316,138.42013312559638,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,13.83315513902572
2026-06-01,ssp126,1.437457493929152,-12.633227548180916,5.420520748686207,-1.3766169692224524,A_stationary_residual,-37.0188854,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,-35.58142790607085,-149.14534554818093,-74.72909750607084,-35.58142790607085,91.08678999392916,136.0764107486862,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,5.597391298176291
2026-07-01,ssp126,-5.444306384283476,-14.48005073511428,6.981145807023745,-1.355831164712291,A_stationary_residual,-75.66636980000001,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,-81.11067618428349,-150.9921687351143,-81.61086138428347,-81.11067618428349,84.20502611571652,137.63703580702375,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-6.789475485032249
2026-08-01,ssp126,-10.496635332674783,-26.18976883047185,2.5966913953940325,-1.3257268361037942,A_stationary_residual,-43.316236200000006,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,-53.81287153267479,-162.70188683047186,-86.66319033267477,-53.81287153267479,79.15269716732521,133.25258139539403,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-12.667399990987567
2026-09-01,ssp126,-10.480582879831356,-20.267172332687352,-0.3814200392610249,-1.2783043830956358,A_stationary_residual,-2.3810720000000005,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,-12.861654879831356,-156.77929033268737,-86.64713787983135,-12.861654879831356,79.16874962016864,130.27446996073897,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-12.688983867525767
2026-10-01,ssp126,-8.31055046591186,-20.897759098859552,4.229065647778248,-1.2258182728225655,A_stationary_residual,11.3758138,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,3.06526333408814,-157.40987709885957,-84.47710546591185,3.06526333408814,81.33878203408814,134.88495564777824,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-11.113559147364375
2026-11-01,ssp126,5.103306607887848,-8.742459441950395,21.0866366647332,-1.1744046421374172,A_stationary_residual,37.5839462,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,42.687252807887845,-145.2545774419504,-71.06324839211214,42.687252807887845,94.75263910788784,151.7425266647332,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-6.222576242341447
2026-12-01,ssp126,0.4236776874614096,-32.18849516977453,21.0866366647332,-1.1225937146305205,A_stationary_residual,53.0334232,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,53.4571008874614,-168.70061316977456,-75.74287731253858,53.4571008874614,90.0730101874614,151.7425266647332,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-1.249269814857876
2027-01-01,ssp126,1.695278103613604,-32.18849516977453,20.06190193070352,-1.0763635804186389,A_stationary_residual,6.7624434,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,8.457721503613605,-168.70061316977456,-74.47127689638639,8.457721503613605,91.3446106036136,150.71779193070353,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-1.0145935974622775
2027-02-01,ssp126,5.688750729632879,-5.1303476974915885,15.135575405437462,-1.0324460693874449,A_stationary_residual,18.4285198,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,24.11727052963288,-141.64246569749162,-70.4778042703671,24.11727052963288,95.33808322963289,145.79146540543746,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-0.5683715675775035
2027-03-01,ssp126,-3.8377611825208087,-15.824743820867596,11.34262577881714,-0.9970723874773244,A_stationary_residual,11.3393914,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,7.501630217479192,-152.33686182086765,-80.0043161825208,7.501630217479192,85.81157131747919,141.99851577881714,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-1.148300875885526
2027-04-01,ssp126,-10.680931313421413,-20.51481633723348,0.3688579884013889,-0.9735751439739986,A_stationary_residual,25.1247908,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,14.443859486578589,-157.02693433723348,-86.8474863134214,14.443859486578589,78.96840118657859,131.0247479884014,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-2.72817272184964
2027-05-01,ssp126,-6.106059426597321,-10.425840359685408,2.777971615424912,-0.9498090940618426,A_stationary_residual,-5.265837199999998,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,-11.37189662659732,-146.9379583596854,-82.27261442659731,-11.37189662659732,83.54327307340267,133.43386161542492,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-3.417369030226346
2027-06-01,ssp126,-16.504949543852995,-26.2808840364522,-2.2782626168629463,-0.9295384798136408,A_stationary_residual,-37.0188854,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,-53.523834943853,-162.7930020364522,-92.671504543853,-53.523834943853,73.14438295614701,128.37762738313705,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-4.9125696167081925
2027-07-01,ssp126,7.914972066110835,-13.740632335633684,28.20852377814564,-0.9295384798136408,A_stationary_residual,-75.66636980000001,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,-67.75139773388918,-150.2527503356337,-68.25158293388915,-67.75139773388918,97.56430456611083,158.86441377814563,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-3.799296412508667
2027-08-01,ssp126,13.445061751457782,-10.028566176507878,39.70590352294941,-0.9295384798136408,A_stationary_residual,-43.316236200000006,-136.51211800000002,-76.16655499999999,89.6493325,130.65589,-29.871174448542224,-146.54068417650788,-62.7214932485422,-29.871174448542224,103.0943942514578,170.36179352294943,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,-1.8041549888309527
