forecast_origin,forecast_horizon_months,n_months,RMSE_KNN_mm,RMSE_persistence_mm,SS_persistence,knn_beats_persistence,NSE_KNN,NSE_persistence
2014-01-01,6,6,5.825076508310863,3.5955144129253487,-0.6200954409668236,False,-4.7052183558436615,-1.1736572850010347
2015-01-01,6,6,13.096908187826207,7.275823672000699,-0.8000584921026312,False,-2.3999645681712076,-0.04930358366627541
2016-01-01,6,6,20.754610592522543,34.34257582589084,0.39565946661241236,True,-0.4083644355904381,-2.8561294304911886
2017-01-01,6,6,23.250847819780436,12.911910287737205,-0.8007287304235999,False,-39.49473780517407,-11.488262067248284
2018-01-01,6,6,31.752682906259665,6.831003023413414,-3.648319258156765,False,-28.07812947510999,-0.34578154464157684
2014-01-01,12,12,14.003491077598305,26.940258945625015,0.4802020609429809,True,0.44574325820945615,-1.051359976911681
2015-01-01,12,12,15.27935144640223,20.54421331626872,0.2562698210350701,True,0.1769313565316616,-0.4880079361568286
2016-01-01,12,12,66.2568335532792,87.8311108784619,0.2456336611185136,True,-0.9463409612832121,-2.4202221890595506
2017-01-01,12,12,36.166230565129105,40.54563125563614,0.10801165390410006,True,-1.6681580418029718,-2.353460457787285
2018-01-01,12,12,26.003196867004963,50.10148212210738,0.4809894684626306,True,0.4656790491061378,-0.9835806471401027
2014-01-01,18,18,14.400981520349212,35.856662199596535,0.598373617706356,True,0.5315539914156131,-1.9041234677621506
2015-01-01,18,18,18.03643836911961,22.9326912180616,0.21350537546529813,True,0.3803639503292636,-0.001717265196705231
2016-01-01,18,18,67.51791362909361,95.66054565930963,0.29419267720304076,True,-1.5446107472781514,-4.1079782264513325
2017-01-01,18,18,37.29460239245929,49.22984004014411,0.2424390905587408,True,-1.6565754301316469,-3.628998480142137
2018-01-01,18,18,27.93085076261019,67.3664595564508,0.5853893622062016,True,0.5070543485832861,-1.8675972704330661
2014-01-01,24,24,14.814859082430555,49.18093238551517,0.698768234682882,True,0.7157345290651109,-2.1327271888687287
2015-01-01,24,24,48.61476523687499,58.75293164336202,0.17255592398396435,True,0.13844229051239154,-0.2583662765077044
2016-01-01,24,24,63.07182314621494,89.30451652670216,0.29374430768732296,True,-1.7960101320340551,-4.6055059575190525
2017-01-01,24,24,33.63694280814772,77.03381626959356,0.5633483522297629,True,0.37090578218250136,-2.2994798976734883
2018-01-01,24,24,25.577647899357572,69.98197220205633,0.6345109019576043,True,0.5165266965578671,-2.619292174012119
2014-01-01,30,30,17.393414395589026,46.57620564413899,0.6265600824489282,True,0.5670430975751001,-2.1045823978462526
2015-01-01,30,30,53.36208934747974,69.23220358195029,0.22923023410175103,True,0.07418412303685318,-0.5583868784303465
2016-01-01,30,30,59.42067799832485,84.18296019100042,0.2941483898462718,True,-1.8912466345294354,-4.803076834160298
2017-01-01,30,30,33.293083279710686,96.79304151323639,0.6560384635174639,True,0.5853039244188425,-2.505178707993623
2018-01-01,30,30,30.59245471790947,63.46994152106881,0.5180008995635466,True,0.32057730400008677,-1.9244728570434027
2014-01-01,36,36,41.68257485691389,49.37992260471303,0.15588010960277354,True,0.10929302038928934,-0.25004770677052046
2015-01-01,36,36,52.16405056465355,67.47049155961926,0.2268612639562646,True,-0.044545514162620536,-0.7474811606079583
2016-01-01,36,36,54.75257742879035,77.3795518673287,0.29241542361648054,True,-0.4920010386189908,-1.9799735538839376
2017-01-01,36,36,31.253218796690906,104.28733126639302,0.7003162472644233,True,0.6340042998334965,-3.0752061808847593
2018-01-01,36,36,36.518282185424184,58.096244388701116,0.37141750607675317,True,0.10941706548298102,-1.2539786884335036
2014-01-01,42,42,46.490890708958595,49.57726600105246,0.06225384215475582,True,0.06877257583398722,-0.058973690277635216
2015-01-01,42,42,50.97859394626598,65.32919131048035,0.21966592692097497,True,-0.15890879541166414,-0.9032161641691334
2016-01-01,42,42,52.13839679581117,72.55804191650525,0.28142497483864826,True,0.02421531439107616,-0.8897735245457439
2017-01-01,42,42,33.76180279547751,101.15341691530902,0.6662317119376732,True,0.5109188357453596,-3.3902656024040123
2018-01-01,42,42,34.327207832788666,54.04136007005178,0.36479748495797293,True,0.19015334195473677,-1.0071432830568199
2014-01-01,48,48,46.90273898893513,46.49774917151852,-0.00870988004005735,False,-0.059952603940353955,-0.04172694302379387
2015-01-01,48,48,48.10244339142821,61.77125387566227,0.2212810915534862,True,0.033382253962334296,-0.5940183763436979
2016-01-01,48,48,49.19336127579545,68.32969312612397,0.2800587998398645,True,0.16670227381958036,-0.6077041816737094
2017-01-01,48,48,37.54863716533122,97.18674317617435,0.6136444546015367,True,0.33855828807799004,-3.431158438868268
2018-01-01,48,48,33.10706693115986,50.57337053736048,0.34536562267087956,True,0.23533671045677773,-0.7843195125174292
2014-01-01,54,54,46.27086248296183,43.88245070245971,-0.05442749304719774,False,-0.15259375649563434,-0.036675465478661406
2015-01-01,54,54,46.17376091349663,59.68676301625964,0.22639864217601902,True,0.21312092708951658,-0.31484194060487325
2016-01-01,54,54,49.679848493599046,66.17049594267533,0.2492145058631935,True,0.05130880694623885,-0.6830349040812123
2017-01-01,54,54,35.99206089088728,94.41375949843096,0.6187837336200406,True,0.3328247628181371,-3.5908919510495583
2018-01-01,54,54,32.75286309477331,47.84775935413563,0.3154775994344994,True,0.27067547304526274,-0.5564869706751574
2014-01-01,60,60,44.28825771727766,46.723929487036656,0.05212900106004059,True,0.016006527062406017,-0.09520078413117017
2015-01-01,60,60,44.21112438554234,57.32441441725133,0.22875576078737314,True,0.2767599028402924,-0.215902159116508
2016-01-01,60,60,50.90891966050735,65.66167815392255,0.22467836504014005,True,-0.08874956283071933,-0.8111907345897598
2017-01-01,60,60,35.313332195967284,91.54290470092363,0.6142428262317201,True,0.3074018825395691,-3.6542883334306326
2018-01-01,60,60,31.44887168776937,45.74074673384388,0.31245390743697365,True,0.25971422587660653,-0.5660144577982944
2014-01-01,66,66,42.9036020795535,52.02076160989245,0.17526001635095634,True,0.1932135881962005,-0.1861086563474157
2015-01-01,66,66,45.30281802701963,55.780621930343635,0.1878394958809928,True,0.17309968665190878,-0.253630140659985
