driver_group,driver_label,forecast_horizon_months,valid_case_count,median_delta_R,P25_delta_R,P75_delta_R,median_delta_RMSE_mm,P25_delta_RMSE_mm,P75_delta_RMSE_mm
P,Precipitation (P),60,5,-0.27035613541762477,-0.3411829425363039,0.031419527391652546,9.614323012778094,-2.1079182760777684,9.815123439625317
T,Temperature (T),60,5,-0.03750168247812935,-0.03968083533379152,-0.033306159475256836,1.8804890445674118,1.4062054245554947,2.0037059969196136
ET,Evapotranspiration (ET),60,5,0.05789648002231995,0.03336664980197934,0.08379678515931144,-6.171605868590952,-6.319478682983949,-2.391052123173619
Q,Runoff (Q),60,5,-0.06239596853761642,-0.2167588990079573,-0.04005920801181351,1.6210557438169957,0.563462802427189,3.0162803387611774
P,Precipitation (P),84,5,-0.25998516482764905,-0.29151667594219927,0.030789964739246334,6.429008132461831,-2.497423567742331,7.552753945643566
T,Temperature (T),84,5,-0.036395662347685986,-0.03843207209941901,-0.03557722043088507,1.6349411567573071,1.3039930359757719,1.68305451829751
ET,Evapotranspiration (ET),84,5,0.06281259369947445,0.05884708604602018,0.0842278484128326,-5.522759638060293,-5.781340590958024,-5.189474272496767
Q,Runoff (Q),84,5,-0.061353183756517105,-0.08884731946622093,-0.057002328409646585,1.2451252224838,-0.26021103963037007,2.6210057360908436
