forecast_horizon_months,valid_case_count,median_R,P25_R,P75_R,median_RMSE_mm,P25_RMSE_mm,P75_RMSE_mm,median_NSE
12,5,0.813469880730244,0.7992968217270269,0.9652316484904968,26.003196867004963,15.27935144640223,36.166230565129105,0.1769313565316616
24,5,0.8423309009998192,0.7953995994777079,0.8873248133152651,33.63694280814772,25.577647899357572,48.61476523687499,0.37090578218250136
36,5,0.832194682461033,0.6546396829111677,0.8542988394530062,41.68257485691389,36.518282185424184,52.16405056465355,0.10929302038928934
60,5,0.7088656660151953,0.6899498123526777,0.7490775205835926,44.21112438554234,35.313332195967284,44.28825771727766,0.25971422587660653
84,5,0.7096562478100827,0.6689504909703046,0.721400472106926,44.02084231061506,35.07492383599135,44.5992085018236,0.06642815214502606
