forecast_origin,forecast_horizon_months,n_months,R,RMSE_mm,NSE,valid_case,analogue_train_rows,n_neighbors,analogue_dates_before_origin,future_leakage_count,target_self_match_count
2014-01-01,6,6,-0.666602228478575,5.825076508310863,-4.7052183558436615,True,55,4,True,0,0
2015-01-01,6,6,0.2127596806576312,13.096908187826207,-2.3999645681712076,True,67,5,True,0,0
2016-01-01,6,6,0.8009622353473721,20.754610592522543,-0.4083644355904381,True,79,6,True,0,0
2017-01-01,6,6,0.5405355807823934,23.250847819780436,-39.49473780517407,True,91,7,True,0,0
2018-01-01,6,6,-0.17183199448281214,31.752682906259665,-28.07812947510999,True,103,8,True,0,0
2014-01-01,12,12,0.9682812224796671,14.003491077598305,0.44574325820945615,True,55,4,True,0,0
2015-01-01,12,12,0.4849933748327488,15.27935144640223,0.1769313565316616,True,67,5,True,0,0
2016-01-01,12,12,0.7992968217270269,66.2568335532792,-0.9463409612832121,True,79,6,True,0,0
2017-01-01,12,12,0.9652316484904968,36.166230565129105,-1.6681580418029718,True,91,7,True,0,0
2018-01-01,12,12,0.813469880730244,26.003196867004963,0.4656790491061378,True,103,8,True,0,0
2014-01-01,18,18,0.9641045013751844,14.400981520349212,0.5315539914156131,True,55,4,True,0,0
2015-01-01,18,18,0.784240623572041,18.03643836911961,0.3803639503292636,True,67,5,True,0,0
2016-01-01,18,18,0.7903913593920195,67.51791362909361,-1.5446107472781514,True,79,6,True,0,0
2017-01-01,18,18,0.9502301640179911,37.29460239245929,-1.6565754301316469,True,91,7,True,0,0
2018-01-01,18,18,0.8744948598616556,27.93085076261019,0.5070543485832861,True,103,8,True,0,0
2014-01-01,24,24,0.8873248133152651,14.814859082430555,0.7157345290651109,True,55,4,True,0,0
2015-01-01,24,24,0.8953793813642879,48.61476523687499,0.13844229051239154,True,67,5,True,0,0
2016-01-01,24,24,0.7617028449374977,63.07182314621494,-1.7960101320340551,True,79,6,True,0,0
