forecast_horizon_months,common_origin_count,median_RMSE_KNN,P25_RMSE_KNN,P75_RMSE_KNN,median_RMSE_persistence,P25_RMSE_persistence,P75_RMSE_persistence,median_SS_persistence,P25_SS_persistence,P75_SS_persistence,KNN_win_count
12,5,26.003196867004963,15.27935144640223,36.166230565129105,40.54563125563614,26.940258945625015,50.10148212210738,0.2562698210350701,0.2456336611185136,0.4802020609429809,5
24,5,33.63694280814772,25.577647899357572,48.61476523687499,69.98197220205633,58.75293164336202,77.03381626959356,0.5633483522297629,0.29374430768732296,0.6345109019576043,5
36,5,41.68257485691389,36.518282185424184,52.16405056465355,67.47049155961926,58.096244388701116,77.3795518673287,0.29241542361648054,0.2268612639562646,0.37141750607675317,5
60,5,44.21112438554234,35.313332195967284,44.28825771727766,57.32441441725133,46.723929487036656,65.66167815392255,0.22875576078737314,0.22467836504014005,0.31245390743697365,5
84,5,44.02084231061506,35.07492383599135,44.5992085018236,54.80224349101896,50.52639405054717,64.1351920886308,0.28319804914205504,0.19673284328534413,0.28837474882400604,5
