scenario,display_name,increment_2026_2050,increment_2051_2075,increment_2076_2100,sum,closure_error
ssp126,SSP1-2.6,3.865389293630942,4.048491949564895,4.844953448314065,12.758834691509902,0.0
ssp245,SSP2-4.5,4.886988533089778,7.331752014331471,8.701265140437087,20.920005687858332,0.0
ssp370,SSP3-7.0,1.6831335386017003,3.7115774464700544,6.135805893635489,11.530516878707244,-1.7763568394002505e-15
ssp585,SSP5-8.5,3.594225194850728,7.674441579130624,14.736728369214056,26.005395143195408,0.0
