date,year,scenario,risk_index,indicator
2100-12-01,2100,ssp126,11.280503881784824,risk_deficit_cumulative_z
2026-12-01,2026,ssp245,-1.406885330091389,risk_deficit_cumulative_z
2027-12-01,2027,ssp245,-1.3443501609376682,risk_deficit_cumulative_z
2028-12-01,2028,ssp245,-1.3443501609376682,risk_deficit_cumulative_z
2029-12-01,2029,ssp245,-1.3443501609376682,risk_deficit_cumulative_z
2030-12-01,2030,ssp245,-1.205302530638926,risk_deficit_cumulative_z
2031-12-01,2031,ssp245,-1.1061194433383368,risk_deficit_cumulative_z
2032-12-01,2032,ssp245,-1.0770748196483992,risk_deficit_cumulative_z
2033-12-01,2033,ssp245,-1.01653003372517,risk_deficit_cumulative_z
2034-12-01,2034,ssp245,-1.0091210485599074,risk_deficit_cumulative_z
2035-12-01,2035,ssp245,-0.8655823013020474,risk_deficit_cumulative_z
2036-12-01,2036,ssp245,-0.6492882019484563,risk_deficit_cumulative_z
2037-12-01,2037,ssp245,-0.3785681091656678,risk_deficit_cumulative_z
2038-12-01,2038,ssp245,-0.2034514665553284,risk_deficit_cumulative_z
2039-12-01,2039,ssp245,0.0651572039230227,risk_deficit_cumulative_z
2040-12-01,2040,ssp245,0.5525058892837655,risk_deficit_cumulative_z
2041-12-01,2041,ssp245,0.6748310017860555,risk_deficit_cumulative_z
2042-12-01,2042,ssp245,0.691134461382283,risk_deficit_cumulative_z
2043-12-01,2043,ssp245,0.7961961187797404,risk_deficit_cumulative_z
2044-12-01,2044,ssp245,0.8925437962984326,risk_deficit_cumulative_z
2045-12-01,2045,ssp245,1.642966044547495,risk_deficit_cumulative_z
2046-12-01,2046,ssp245,2.549207204162977,risk_deficit_cumulative_z
2047-12-01,2047,ssp245,3.1301256509341155,risk_deficit_cumulative_z
2048-12-01,2048,ssp245,3.130621938304883,risk_deficit_cumulative_z
2049-12-01,2049,ssp245,3.153703725557014,risk_deficit_cumulative_z
2050-12-01,2050,ssp245,3.4002377743155066,risk_deficit_cumulative_z
2051-12-01,2051,ssp245,3.615071864274363,risk_deficit_cumulative_z
2052-12-01,2052,ssp245,3.724615643781061,risk_deficit_cumulative_z
2053-12-01,2053,ssp245,3.978591234062446,risk_deficit_cumulative_z
2054-12-01,2054,ssp245,4.078967323645819,risk_deficit_cumulative_z
2055-12-01,2055,ssp245,4.522569012261868,risk_deficit_cumulative_z
2056-12-01,2056,ssp245,5.557159534387886,risk_deficit_cumulative_z
2057-12-01,2057,ssp245,5.648360584524478,risk_deficit_cumulative_z
2058-12-01,2058,ssp245,5.648360584524478,risk_deficit_cumulative_z
2059-12-01,2059,ssp245,5.73360780029409,risk_deficit_cumulative_z
2060-12-01,2060,ssp245,6.088062740291014,risk_deficit_cumulative_z
2061-12-01,2061,ssp245,7.603713879179707,risk_deficit_cumulative_z
2062-12-01,2062,ssp245,8.270271849706427,risk_deficit_cumulative_z
2063-12-01,2063,ssp245,8.697899510237514,risk_deficit_cumulative_z
2064-12-01,2064,ssp245,8.80084959076536,risk_deficit_cumulative_z
2065-12-01,2065,ssp245,8.85119309434642,risk_deficit_cumulative_z
2066-12-01,2066,ssp245,9.111521473675168,risk_deficit_cumulative_z
2067-12-01,2067,ssp245,9.316785265794111,risk_deficit_cumulative_z
2068-12-01,2068,ssp245,9.563295438806524,risk_deficit_cumulative_z
2069-12-01,2069,ssp245,9.654161080431232,risk_deficit_cumulative_z
2070-12-01,2070,ssp245,9.675402421251931,risk_deficit_cumulative_z
2071-12-01,2071,ssp245,10.013123069398157,risk_deficit_cumulative_z
2072-12-01,2072,ssp245,10.33846202392112,risk_deficit_cumulative_z
2073-12-01,2073,ssp245,10.483286078716864,risk_deficit_cumulative_z
2074-12-01,2074,ssp245,10.731989788646978,risk_deficit_cumulative_z
2075-12-01,2075,ssp245,10.731989788646978,risk_deficit_cumulative_z
2076-12-01,2076,ssp245,10.829261229481268,risk_deficit_cumulative_z
2077-12-01,2077,ssp245,11.04204838963041,risk_deficit_cumulative_z
2078-12-01,2078,ssp245,11.224950475943304,risk_deficit_cumulative_z
2079-12-01,2079,ssp245,11.255347785938046,risk_deficit_cumulative_z
2080-12-01,2080,ssp245,11.383629266684263,risk_deficit_cumulative_z
2081-12-01,2081,ssp245,11.39126760836858,risk_deficit_cumulative_z
2082-12-01,2082,ssp245,11.491450954581818,risk_deficit_cumulative_z
2083-12-01,2083,ssp245,11.733856775781922,risk_deficit_cumulative_z
2084-12-01,2084,ssp245,13.168437614733948,risk_deficit_cumulative_z
2085-12-01,2085,ssp245,14.635146698636452,risk_deficit_cumulative_z
2086-12-01,2086,ssp245,15.007816559306878,risk_deficit_cumulative_z
2087-12-01,2087,ssp245,15.965630756239149,risk_deficit_cumulative_z
2088-12-01,2088,ssp245,16.129409283162836,risk_deficit_cumulative_z
2089-12-01,2089,ssp245,16.496198087277424,risk_deficit_cumulative_z
2090-12-01,2090,ssp245,17.3492672351271,risk_deficit_cumulative_z
2091-12-01,2091,ssp245,17.364918246655744,risk_deficit_cumulative_z
2092-12-01,2092,ssp245,17.946065953912317,risk_deficit_cumulative_z
2093-12-01,2093,ssp245,18.57492755561839,risk_deficit_cumulative_z
2094-12-01,2094,ssp245,18.578804715394355,risk_deficit_cumulative_z
2095-12-01,2095,ssp245,18.58928892066809,risk_deficit_cumulative_z
2096-12-01,2096,ssp245,18.83825897603372,risk_deficit_cumulative_z
2097-12-01,2097,ssp245,19.01787941259284,risk_deficit_cumulative_z
2098-12-01,2098,ssp245,19.168222295842384,risk_deficit_cumulative_z
2099-12-01,2099,ssp245,19.211838958857797,risk_deficit_cumulative_z
2100-12-01,2100,ssp245,19.433254929084065,risk_deficit_cumulative_z
2026-12-01,2026,ssp370,-1.4835862253369727,risk_deficit_cumulative_z
2027-12-01,2027,ssp370,-1.4755367594943565,risk_deficit_cumulative_z
2028-12-01,2028,ssp370,-1.4384816336849915,risk_deficit_cumulative_z
2029-12-01,2029,ssp370,-1.353540749574859,risk_deficit_cumulative_z
2030-12-01,2030,ssp370,-0.8914087615286617,risk_deficit_cumulative_z
2031-12-01,2031,ssp370,-0.7454141900590997,risk_deficit_cumulative_z
2032-12-01,2032,ssp370,-0.6973512000158261,risk_deficit_cumulative_z
2033-12-01,2033,ssp370,-0.6962873600999812,risk_deficit_cumulative_z
2034-12-01,2034,ssp370,-0.6962873600999812,risk_deficit_cumulative_z
2035-12-01,2035,ssp370,-0.6272679685070406,risk_deficit_cumulative_z
2036-12-01,2036,ssp370,-0.6225238327168,risk_deficit_cumulative_z
2037-12-01,2037,ssp370,-0.6225238327168,risk_deficit_cumulative_z
2038-12-01,2038,ssp370,-0.6225238327168,risk_deficit_cumulative_z
2039-12-01,2039,ssp370,-0.6225238327168,risk_deficit_cumulative_z
2040-12-01,2040,ssp370,-0.6034452694993724,risk_deficit_cumulative_z
2041-12-01,2041,ssp370,-0.5196620807097984,risk_deficit_cumulative_z
2042-12-01,2042,ssp370,-0.2230680559730627,risk_deficit_cumulative_z
2043-12-01,2043,ssp370,-0.1143316550683269,risk_deficit_cumulative_z
2044-12-01,2044,ssp370,-0.1143316550683269,risk_deficit_cumulative_z
2045-12-01,2045,ssp370,-0.100125424506308,risk_deficit_cumulative_z
2046-12-01,2046,ssp370,-0.0833196654100914,risk_deficit_cumulative_z
2047-12-01,2047,ssp370,-0.049612213239774,risk_deficit_cumulative_z
2048-12-01,2048,ssp370,0.1667602551793522,risk_deficit_cumulative_z
2049-12-01,2049,ssp370,0.1853198963281152,risk_deficit_cumulative_z
2050-12-01,2050,ssp370,0.1920641242715487,risk_deficit_cumulative_z
2051-12-01,2051,ssp370,0.3051893175659159,risk_deficit_cumulative_z
2052-12-01,2052,ssp370,0.4413546663123578,risk_deficit_cumulative_z
2053-12-01,2053,ssp370,0.5530135374488616,risk_deficit_cumulative_z
2054-12-01,2054,ssp370,0.7177882326681605,risk_deficit_cumulative_z
2055-12-01,2055,ssp370,0.7358425893656281,risk_deficit_cumulative_z
2056-12-01,2056,ssp370,0.869984211007275,risk_deficit_cumulative_z
2057-12-01,2057,ssp370,1.0063219248865964,risk_deficit_cumulative_z
2058-12-01,2058,ssp370,1.021456199681617,risk_deficit_cumulative_z
2059-12-01,2059,ssp370,1.298568617986989,risk_deficit_cumulative_z
2060-12-01,2060,ssp370,1.3178078637686377,risk_deficit_cumulative_z
2061-12-01,2061,ssp370,1.5578482383233458,risk_deficit_cumulative_z
2062-12-01,2062,ssp370,1.7013753135325569,risk_deficit_cumulative_z
2063-12-01,2063,ssp370,1.8886175014784812,risk_deficit_cumulative_z
2064-12-01,2064,ssp370,1.9375898876139688,risk_deficit_cumulative_z
2065-12-01,2065,ssp370,2.067740107972841,risk_deficit_cumulative_z
2066-12-01,2066,ssp370,2.1836430646405955,risk_deficit_cumulative_z
2067-12-01,2067,ssp370,2.236270698471165,risk_deficit_cumulative_z
2068-12-01,2068,ssp370,2.346381929864484,risk_deficit_cumulative_z
2069-12-01,2069,ssp370,2.39722403926996,risk_deficit_cumulative_z
2070-12-01,2070,ssp370,2.630364790052644,risk_deficit_cumulative_z
2071-12-01,2071,ssp370,2.828211879159631,risk_deficit_cumulative_z
2072-12-01,2072,ssp370,3.051249506226112,risk_deficit_cumulative_z
2073-12-01,2073,ssp370,3.380895033150644,risk_deficit_cumulative_z
2074-12-01,2074,ssp370,3.669469909182829,risk_deficit_cumulative_z
2075-12-01,2075,ssp370,3.9036415707416032,risk_deficit_cumulative_z
2076-12-01,2076,ssp370,3.9590933881326262,risk_deficit_cumulative_z
2077-12-01,2077,ssp370,4.182104362068057,risk_deficit_cumulative_z
2078-12-01,2078,ssp370,4.900904607842263,risk_deficit_cumulative_z
2079-12-01,2079,ssp370,4.900904607842263,risk_deficit_cumulative_z
2080-12-01,2080,ssp370,5.056290655211361,risk_deficit_cumulative_z
2081-12-01,2081,ssp370,5.525316114497259,risk_deficit_cumulative_z
2082-12-01,2082,ssp370,5.531025548333996,risk_deficit_cumulative_z
2083-12-01,2083,ssp370,5.810497547289702,risk_deficit_cumulative_z
2084-12-01,2084,ssp370,6.085372480645549,risk_deficit_cumulative_z
2085-12-01,2085,ssp370,6.195658198453622,risk_deficit_cumulative_z
2086-12-01,2086,ssp370,6.445156154476025,risk_deficit_cumulative_z
2087-12-01,2087,ssp370,6.566944075213658,risk_deficit_cumulative_z
2088-12-01,2088,ssp370,6.6760716555896105,risk_deficit_cumulative_z
2089-12-01,2089,ssp370,6.734154288578496,risk_deficit_cumulative_z
2090-12-01,2090,ssp370,6.887385721539586,risk_deficit_cumulative_z
